"code_lac" "camp_annee" "nb_id_campagne" "nb_id_prelev_poisson" "nb_id_point_prelev"
"LSG81" "2013" "1" "1" "1"
"LSG81" "2019" "1" "1" "1"
"LUN32" "2009" "1" "3" "3"
"LUN32" "2016" "1" "3" "3"
"MAD55" "2006" "1" "4" "2"
"MAU12" "2008" "1" "7" "7"
"MAU12" "2015" "1" "3" "3"
"MER85" "2007" "1" "2" "1"
"MIC68" "2010" "1" "3" "3"
"MIC68" "2016" "1" "2" "2"
"MIE32" "2014" "1" "2" "2"
"MIE32" "2017" "1" "1" "1"
"MON38" "2009" "1" "10" "10"
"MON38" "2017" "1" "10" "10"
"MON63" "2005" "1" "3" "1"
"MON63" "2012" "1" "3" "3"
"MON71" "2008" "1" "1" "1"
"MON71" "2013" "1" "2" "2"
"MON71" "2018" "1" "2" "2"
"MON74" "2006" "1" "3" "2"
"MOU52" "2008" "1" "4" "2"
"MUN67" "2009" "1" "4" "4"
"MUN67" "2015" "1" "4" "4"
"NAN01" "2008" "1" "8" "5"
"NAN01" "2013" "1" "7" "7"
"NAR39" "2018" "1" "8" "8"
"NAU48" "2012" "1" "6" "6"
"NAU48" "2019" "1" "1" "1"
"NDC38" "2008" "1" "3" "3"
"OSP2A" "2009" "1" "3" "3"
"OSP2A" "2014" "1" "2" "2"
"PAL07" "2012" "1" "3" "3"
"PAL38" "2011" "1" "7" "7"
"PAL38" "2017" "1" "9" "9"
"PAR12" "2013" "1" "2" "2"
"PAR12" "2019" "1" "2" "2"
"PAR40" "2008" "1" "3" "1"
"PAR40" "2015" "1" "3" "3"
"PAV63" "2005" "1" "5" "1"
"PAV63" "2012" "1" "7" "7"
"PAV63" "2018" "1" "5" "5"
"PET38" "2008" "1" "5" "3"
"PET38" "2015" "1" "6" "6"
"PIR03" "2010" "1" "1" "1"
"PON21" "2011" "1" "4" "4"
"PON21" "2019" "1" "2" "2"
"POU43" "2011" "1" "1" "1"
"PRA66" "2006" "1" "2" "1"
"PUY48" "2008" "1" "5" "1"
"QUI04" "2011" "1" "8" "8"
"RAB61" "2009" "1" "4" "4"
"RAV34" "2011" "1" "2" "2"
"RAV34" "2017" "1" "6" "6"
"RBJ35" "2009" "1" "4" "4"
"RBO63" "2014" "1" "11" "11"
"RCB01" "2010" "1" "2" "2"
"RCE35" "2009" "1" "2" "2"
"RCM01" "2008" "1" "2" "1"
"RCS70" "2011" "1" "4" "4"
"RDC23" "2008" "1" "4" "1"
"RDV35" "2009" "1" "4" "4"
"REM25" "2009" "1" "7" "7"
"REM25" "2016" "1" "8" "8"
"RFB63" "2006" "1" "12" "1"
"RFB63" "2013" "1" "4" "4"
"RFB63" "2019" "1" "4" "4"
"RIC54" "2005" "1" "1" "1"
"RIC54" "2006" "1" "1" "1"
"RLB11" "2008" "1" "4" "2"
"RMC73" "2011" "1" "3" "3"
"ROC03" "2010" "1" "5" "5"
"ROC03" "2016" "1" "2" "2"
"ROC85" "2011" "1" "1" "1"
"RPR71" "2008" "1" "2" "1"
"RSM87" "2013" "1" "6" "6"
"RST35" "2009" "1" "3" "3"
