"code_lac" "camp_annee" "id_campagne"
"ABB39" 2010 201
"AIG15" 2010 258
"AIG73" 2009 118
"ALE2B" 2016 485
"ALL01" 2010 203
"ALZ81" 2011 259
"AMA10" 2011 260
"ANN74" 2010 204
"ARJ40" 2013 336
"AST32" 2010 205
"AUR40" 2008 68
"AUR40" 2015 445
"AVE34" 2009 264
"BAG12" 2011 267
"BAI08" 2008 64
"BIS40" 2008 71
"BIS40" 2015 446
"BMC16" 2010 207
"BMS40" 2009 123
"BOU73" 2010 208
"BOU88" 2010 209
"BOU88" 2016 458
"BSA58" 2009 124
"BSF31" 2011 270
"CAL2B" 2014 414
"CAR66" 2009 274
"CAZ40" 2015 403
"CHA25" 2010 215
"CHA38" 2010 216
"CHO04" 2012 278
"COI39" 2010 219
"ECH33" 2007 52
"ECH33" 2014 397
"ECL28" 2012 250
"ENT25" 2014 364
"FIG2A" 2009 129
"FIG2A" 2015 420
"FIL09" 2015 404
"GER88" 2011 286
"GLC39" 2009 131
"GLC39" 2015 421
"HAU19" 2011 292
"ILA39" 2009 135
"JOU11" 2014 416
"LAC33" 2012 294
"LAD16" 2010 295
"LAF38" 2009 137
"LAF38" 2015 428
"LAR31" 2010 296
"LAR31" 2015 449
"LDC25" 2013 357
"LDC63" 2013 355
"LEO40" 2009 140
"LEO40" 2015 447
"LER27a" 2009 141
"LGM27" 2012 246
"LIE52" 2009 142
"LKW68" 2009 143
"LKW68" 2015 400
"LON88" 2010 226
"LPC38" 2013 349
"LRO39" 2014 365
"MAD55" 2011 301
"MAU12" 2015 405
"MIC68" 2010 227
"MIC68" 2016 455
"MON38" 2009 145
"MON71" 2013 358
"NAN01" 2013 350
"OSP2A" 2014 417
"PAL38" 2011 305
"PAR12" 2013 339
"PAR40" 2008 69
"PAR40" 2015 448
"PAR54" 2008 66
"PET38" 2015 429
"PPE14" 2008 100
"PRA33" 2009 148
"QUI04" 2011 310
"RAB61" 2009 149
"RAV34" 2011 311
"RCB01" 2010 232
"RCS70" 2011 314
"REM25" 2009 150
"SAL34" 2016 487
"SAU38" 2009 320
"SAU38" 2015 427
"SCA83" 2013 393
"SCR04" 2013 394
"SET58" 2012 255
"SOU40" 2012 321
"SPO25" 2009 157
"SPO25" 2015 423
"SYL01" 2008 83
"SYL01" 2014 347
"TOL2A" 2013 395
"TOR82" 2011 325
"TRA02" 2012 247
"TRE19" 2010 237
"TSC32" 2010 326
"VAL39" 2010 238
"VAL39" 2013 359
"VAL39" 2016 444
"VEZ50" 2010 239
"VFO08" 2008 67
"VIL12" 2010 328
"VIL12" 2015 452
"VIN66" 2009 159
"VOU39" 2014 366
