name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-3365.9607,-3466.2062,30.0971,-3517.8083,-3465.3516,-3417.272,1.1289,*
1,0.0282,0.0296,0.0352,-0.0283,0.0298,0.0879,1.0018,ns
type,-0.7098,-0.6996,0.0886,-0.8429,-0.7002,-0.5554,0.9995,*
temp,0.0282,-8e-04,0.0195,-0.033,-2e-04,0.0313,1,ns
temp^2,0.0138,0.0055,0.0072,-0.0063,0.0055,0.0172,0.999,ns
temp*type,-0.0175,0.0544,0.0602,-0.0431,0.0538,0.1501,0.9999,ns
dbo,-0.0211,-0.0196,0.0213,-0.0557,-0.0188,0.0146,0.9998,ns
dbo^2,-0.0048,-0.0065,0.0089,-0.0212,-0.0068,0.0088,0.9994,ns
type*dbo,-0.3483,-0.2351,0.0748,-0.3632,-0.2333,-0.1092,1.0013,*
temp*dbo,-0.023,-0.0151,0.0141,-0.0385,-0.0154,0.0072,1,ns
temp*dbo*type,0.2059,0.0857,0.0729,-0.0338,0.0826,0.2085,1.0103,ns
rich,-0.3958,-0.3876,0.026,-0.4304,-0.3872,-0.3454,1.0032,*
alt,0.1465,0.1877,0.0368,0.1297,0.1874,0.2466,0.999,*
year,0.0018,-0.0082,0.0132,-0.0298,-0.0084,0.0129,0.9996,ns
