name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-3662.6836,-3678.4836,10.6384,-3696.7666,-3680.1094,-3664.6572,3.1317,*
1,0.7023,0.6531,0.0223,0.6237,0.6475,0.6985,1.2754,*
type,-0.3695,-0.3086,0.0552,-0.3878,-0.3036,-0.2133,2.4996,*
temp,0.0045,0.0021,0.0162,-0.0229,8e-04,0.0303,1.6119,ns
temp^2,0.0063,0.0067,0.0067,-0.0051,0.0071,0.0177,1.0019,ns
dbo,-0.0072,-0.0391,0.0176,-0.0637,-0.0404,-0.0088,2.5489,*
type*dbo,-0.0421,-0.0187,0.0191,-0.0518,-0.0177,0.0136,1.0036,ns
rich,-0.3739,-0.4033,0.0271,-0.4478,-0.4041,-0.3642,2.0214,*
alt,0.0734,0.1856,0.0681,0.072,0.203,0.2825,2.3949,*
