code_lac,camp_annee
ABB39,2010
ABB39,2014
AIG15,2010
AIG15,2017
AIG73,2009
AIG73,2014
AIG73,2020
AIL02,2010
ALE2B,2008
ALE2B,2016
ALL01,2010
ALL04,2006
ALZ81,2011
ALZ81,2017
AMA10,2011
AMA10,2017
ANG85,2008
ANG85,2011
ANN74,2007
ANN74,2009
ANN74,2010
ANN74,2012
ANN74,2016
ANS69,2011
ANS69,2017
ANT74,2007
APR85,2007
ARD62,2011
ARD62,2018
ARG19,2016
ARJ40,2013
ARZ56,2007
AST32,2010
AST32,2017
AUD62,2009
AUD62,2016
AUL13,2011
AUL13,2015
AUM44,2008
AUR40,2008
AUR40,2015
AVE34,2009
AYD63,2005
AYD63,2011
AYD63,2017
AYG64,2011
AYG64,2016
BAG12,2011
BAG12,2017
BAI08,2008
BAI08,2014
BAR01,2007
BAR32,2011
BAR32,2017
BCL12,2010
BCL12,2016
BCM65,2014
BDB40,2010
BDB40,2016
BGP77,2009
BIM13,2007
BIM13,2013
BIM13,2015
BIS40,2008
BIS40,2015
BLA40,2008
BLC19,2013
BLC19,2018
BMC16,2010
BMC16,2018
BMS40,2009
BMS40,2016
BOR33,2008
BOR33,2017
BOR63,2005
BOU27,2012
BOU33,2013
BOU43,2005
BOU63,2005
BOU73,2010
BOU73,2016
BOU88,2010
BOU88,2016
BOU89,2010
BOU89,2017
BRA47,2015
BSA58,2009
BSA58,2017
BSF31,2011
BSF31,2018
BSJ32,2011
BSJ32,2017
BUL85,2007
CAL2B,2010
CAL2B,2014
CAN32,2011
CAN32,2017
CAN77a,2008
CAN77a,2013
CAN77b,2008
CAN77b,2013
CAN77c,2008
CAN77c,2013
CAR35,2010
CAR66,2009
CAR83,2008
CAS04,2010
CAS04,2015
CAS63,2005
CAS63,2012
CAU19,2012
CAU19,2016
CAZ40,2005
CAZ40,2015
CEB79,2009
CEB79,2014
CER21,2009
CER95,2010
CHA21,2008
CHA21,2014
CHA23,2006
CHA25,2010
CHA25,2019
CHA38,2010
CHA38,2018
CHA39,2007
CHA39,2011
CHA39,2017
CHA48,2010
CHA48,2016
CHA52,2010
CHA52,2016
CHA58,2009
CHA63,2005
CHA63,2012
CHA63,2018
CHA86,2006
CHO04,2012
COD2B,2008
COD2B,2018
COI39,2010
COM23,2012
CRE89,2011
CRE89,2017
DEV07,2018
DRE29,2012
DUC56,2008
ECH33,2007
ECH33,2014
ECL28,2012
ECL28,2019
EGU36,2011
ENC15,2010
ENC15,2016
ENT13,2007
ENT25,2008
ENT25,2014
EPT35,2010
ESP04,2010
ESP04,2014
ESP04,2019
EST11,2010
EST11,2018
ETI39,2005
EVJ59,2008
EVJ59,2013
FEY19,2008
FEY19,2016
FIG2A,2009
FIG2A,2015
FIL09,2005
FIL09,2015
FOR35,2008
GAB64,2012
GAB64,2017
GAR09,2012
GAR09,2018
GAS14,2011
GAU65,2006
GBB43,2010
GDL44,2008
GDL44,2016
GEB69,2009
GEB69,2015
GEN01,2019
GEN82,2012
GEN82,2018
GER88,2011
GER88,2017
GIO40,2011
GIO40,2016
GLC39,2009
GLC39,2015
GON57,2012
GON57,2018
GOU03,2009
GOU03,2015
GOU22,2009
GOU82,2011
GOU82,2017
GRA15,2009
GRA15,2014
GRA15,2020
GRA42,2006
GRA42,2013
GRA42,2019
GRA85,2009
GRA85,2011
GRO21b,2012
GUE22,2013
HAG40,2010
HAG40,2017
HAR22,2009
HAU19,2011
ILA39,2009
ILA39,2016
ISS07,2005
ISS07,2009
ISS07,2017
JAB77,2011
JOU11,2008
JOU11,2014
JOU11,2020
JUG22,2008
LAC33,2012
LAD16,2010
LAF38,2009
LAF38,2015
LAO81,2005
LAO81,2013
LAO81,2018
LAR31,2010
LAR31,2015
LAS15,2016
LAT10,2006
LAT10,2013
LAU38,2018
LAV16,2011
LAV16,2018
LAV23,2011
LAV43,2012
LDC21,2008
LDC25,2007
LDC25,2013
LDC25,2019
LDC51,2012
LDC51,2018
LDC63,2013
LDC63,2019
LEJ85,2009
LEJ85,2011
LEM74,2010
LEM74,2012
LEM74,2015
LEM74,2016
LEM85,2009
LEM85,2011
LEO40,2009
LEO40,2015
LER27a,2009
LER27a,2013
LES24,2011
LES24,2017
LGM27,2012
LGM39,2005
LIE52,2009
LIE52,2015
LKW68,2009
LKW68,2015
LON88,2010
LON88,2016
LOU64,2011
LOU64,2017
LPC38,2007
LPC38,2013
LPC38,2019
LRO39,2008
LRO39,2014
LSF43,2012
LSG81,2013
LSG81,2019
LUN32,2009
LUN32,2016
MAD55,2006
MAD55,2011
MAD55,2017
mars-35,2007
MAU12,2008
MAU12,2015
MAU12,2020
MEO23,2008
MER85,2007
MIC68,2010
MIC68,2016
MIE32,2005
MIE32,2014
MIE32,2017
MON38,2009
MON38,2017
MON63,2005
MON63,2012
MON71,2008
MON71,2013
MON71,2018
MON74,2006
MOT73,2012
MOU52,2008
MUN67,2009
MUN67,2015
NAN01,2008
NAN01,2013
NAN01,2019
NAR39,2018
NAU48,2012
NAU48,2019
NDC38,2008
ORX40,2010
OSP2A,2009
OSP2A,2014
OUE35,2010
PAL07,2012
PAL38,2011
PAL38,2017
PAN21,2008
PAR12,2013
PAR12,2019
PAR40,2008
PAR40,2015
PAR54,2008
PAR54,2014
PAV63,2005
PAV63,2012
PAV63,2018
PDF44,2010
PET38,2008
PET38,2015
PIR03,2010
PLA13,2008
PON21,2011
PON21,2019
POR74,2007
POU31,2011
POU31,2015
POU43,2011
PPE14,2008
PPE14,2016
PRA33,2009
PRA66,2006
PRO44,2010
PUI18,2011
PUI18,2018
PUY48,2008
QUI04,2011
RAB61,2009
RAB61,2017
RAV34,2011
RAV34,2017
RBJ35,2009
RBO63,2014
RBO63,2020
RCB01,2010
RCE35,2009
RCM01,2008
RCS70,2011
RDC23,2008
RDV35,2009
REA13,2008
REM25,2009
REM25,2016
RFB63,2006
RFB63,2013
RFB63,2019
RGL69,2008
RIC54,2005
RIC54,2006
RIN53,2010
RIV35,2008
RKU22,2008
RLB11,2008
RMC73,2011
RMN29,2008
RMP85,2009
ROC03,2010
ROC03,2016
ROC85,2009
ROC85,2011
RPR71,2008
RSM87,2013
RST35,2009
RSV34,2008
RTN71,2006
RTN71,2010
RTV71,2008
RVH22,2009
SAL34,2016
SAR15,2008
SAU38,2009
SAU38,2015
SCA83,2007
SCA83,2013
SCA83,2019
SCR04,2009
SCR04,2013
SCR04,2019
SDB01,2018
SEC15,2008
SEC15,2016
SEI10,2008
SEI10,2013
SER63,2012
SET58,2012
SET58,2018
SFP53,2006
SID18,2009
SID18,2016
SIL85,2009
SIL85,2011
SMI29,2006
SOR71,2008
SOR71,2015
SOU40,2005
SOU40,2012
SPA87,2012
SPO04,2011
SPO04,2017
SPO25,2009
SPO25,2015
STO57,2012
STO57,2018
SYL01,2008
SYL01,2014
SYL01,2020
TAI40,2011
TAI40,2016
TOL2A,2007
TOL2A,2013
TOL2A,2018
TOR82,2011
TOR82,2016
TOU27,2008
TOU79,2007
TOU79,2010
TOU79,2016
TRA02,2012
TRE19,2010
TRI19,2009
TSC32,2010
TSC32,2015
UBY32,2010
UBY32,2016
VAL39,2010
VAL39,2013
VAL39,2016
VAL45,2007
VAL45,2012
VAS87,2013
VAU58,2012
VEN27,2012
VEZ50,2010
VFO08,2008
VFO08,2014
VIG59,2010
VIG59,2017
VIL12,2010
VIL12,2015
VIL42,2006
VIL42,2013
VIL52,2013
VIN66,2009
VIO44,2006
VOU39,2008
VOU39,2014
VSM77,2010
VVE70,2008
ZOL13,2009
