"species"
"Abramis"
"Abramis brama"
"Acipenser ruthenus"
"Alburnoides bipunctatus"
"Alburnus alburnus"
"Ameiurus melas"
"Anguilla anguilla"
"Barbatula barbatula"
"Barbus barbus"
"Blicca bjoerkna"
"Carassius auratus"
"Carassius carassius"
"Carassius gibelio"
"Chelon auratus"
"Chelon ramada"
"Chondrostoma nasus"
"Cobitis taenia"
"Coregonus lavaretus"
"Cottus gobio"
"Cyprinidae"
"Cyprinus carpio"
"Esox lucius"
"Gambusia affinis"
"Gasterosteus aculeatus"
"Gobio gobio"
"Gymnocephalus cernua"
"Hypophthalmichthys molitrix"
"Lepomis gibbosus"
"Leucaspius delineatus"
"Leuciscus aspius"
"Leuciscus burdigalensis"
"Leuciscus idus"
"Leuciscus leuciscus"
"Lota lota"
"Micropterus salmoides"
"Mugilidae"
"Neogobius melanostomus"
"Oncorhynchus mykiss"
"Parachondrostoma toxostoma"
"Perca fluviatilis"
"Percidae"
"Phoxinus phoxinus"
"Ponticola kessleri"
"Pseudorasbora parva"
"Rhodeus amarus"
"Rutilus rutilus"
"Salaria fluviatilis"
"Salmo trutta fario"
"Salmo trutta lacustris"
"Salvelinus alpinus"
"Salvelinus fontinalis"
"Salvelinus namaycush"
"Sander lucioperca"
"Scardinius erythrophthalmus"
"Scardinius hesperidicus"
"Silurus glanis"
"Squalius cephalus"
"Telestes souffia"
"Thymallus thymallus"
"Tinca tinca"
