name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-3314.9016,-3408.5997,31.7737,-3461.2203,-3408.3663,-3354.8131,1.006,*
Intercept,-0.005,-0.0144,0.0422,-0.0816,-0.0156,0.0547,0.999,ns
Ecosystem Type,0.7109,0.8017,0.0848,0.6619,0.803,0.9411,0.9998,*
Temperature,-0.0199,-0.0145,0.0196,-0.047,-0.0149,0.0176,0.9999,ns
Temperature^2,-0.0211,-0.018,0.0075,-0.0306,-0.0177,-0.0061,1.0001,*
Temperature * Ecosystem Type,0.0361,0.007,0.0627,-0.0936,0.006,0.1109,0.9995,ns
BOD,1e-04,-0.0103,0.0203,-0.0438,-0.0102,0.0234,0.9999,ns
BOD^2,-0.0172,-0.0055,0.0086,-0.0195,-0.0055,0.0084,1.0008,ns
Ecosystem Type * BOD,0.0972,0.0045,0.1087,-0.1761,0.0114,0.1783,0.9999,ns
Temperature * BOD,-0.0547,-0.0431,0.0149,-0.0678,-0.043,-0.0186,1.0019,*
Temperature * BOD * Ecosystem Type,-0.0688,-0.0544,0.0858,-0.1874,-0.0561,0.0886,0.999,ns
Species Richness,0.1854,0.2125,0.0239,0.1732,0.2124,0.2513,1.0004,*
Year,-0.0186,-0.0145,0.0126,-0.0355,-0.0144,0.006,0.9994,ns
