name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-4160.04,-4251.1126,31.3842,-4302.9287,-4250.5171,-4200.814,1.0056,*
1,0.0401,0.0577,0.0166,0.0299,0.0579,0.0848,0.999,*
year,-0.0359,-0.008,0.0165,-0.0362,-0.0082,0.0195,0.9998,ns
temp,0.0201,-0.0046,0.0196,-0.0385,-0.0039,0.027,1.0004,ns
temp^2,0.0132,0.0158,0.0082,0.002,0.0158,0.0293,0.9991,*
type,-0.616,-0.6174,0.066,-0.7265,-0.6158,-0.5116,0.9992,*
type*temp,-0.053,-0.0356,0.0496,-0.1188,-0.0345,0.0418,1.0047,ns
dbo,-0.1557,-0.1205,0.019,-0.1522,-0.1201,-0.0897,0.9998,*
type*dbo,-0.0978,-0.0929,0.0486,-0.1718,-0.0939,-0.0071,1.0026,*
alt,0.0713,0.0911,0.0186,0.0612,0.091,0.1222,0.999,*
rich,-0.4564,-0.4395,0.0187,-0.4709,-0.4391,-0.4074,0.9994,*
