"code_lac" "camp_annee" "id_campagne"
"ABB39" 2010 201
"ABB39" 2014 362
"AIG15" 2010 258
"AIG15" 2017 482
"AIG73" 2009 118
"AIG73" 2014 348
"AIG73" 2020 560
"AIL02" 2010 202
"ALE2B" 2008 72
"ALE2B" 2016 485
"ALL01" 2010 203
"ALL04" 2006 28
"ALZ81" 2011 259
"ALZ81" 2017 471
"AMA10" 2011 260
"AMA10" 2017 480
"ANG85" 2008 106
"ANG85" 2011 370
"ANN74" 2007 329
"ANN74" 2009 330
"ANN74" 2010 204
"ANN74" 2012 242
"ANN74" 2012 243
"ANN74" 2016 439
"ANS69" 2011 261
"ANS69" 2017 465
"ANT74" 2007 7
"APR85" 2007 25
"ARD62" 2011 262
"ARD62" 2018 503
"ARG19" 2016 460
"ARJ40" 2013 336
"ARZ56" 2007 27
"AST32" 2010 205
"AST32" 2017 472
"AUD62" 2009 120
"AUD62" 2016 453
"AUL13" 2011 263
"AUL13" 2015 418
"AUM44" 2008 105
"AUR40" 2008 68
"AUR40" 2015 445
"AVE34" 2009 264
"AYD63" 2005 29
"AYD63" 2011 265
"AYD63" 2017 481
"AYG64" 2011 266
"AYG64" 2016 475
"BAG12" 2011 267
"BAG12" 2017 473
"BAI08" 2008 64
"BAI08" 2014 409
"BAR01" 2007 5
"BAR32" 2011 268
"BAR32" 2017 492
"BCL12" 2010 269
"BCL12" 2016 430
"BCM65" 2014 396
"BDB40" 2010 206
"BDB40" 2016 431
"BGP77" 2009 122
"BIM13" 2007 30
"BIM13" 2013 392
"BIM13" 2015 399
"BIS40" 2008 71
"BIS40" 2015 446
"BLA40" 2008 53
"BLC19" 2013 341
"BLC19" 2018 552
"BMC16" 2010 207
"BMC16" 2018 555
"BMS40" 2009 123
"BMS40" 2016 477
"BOR33" 2008 70
"BOR33" 2017 499
"BOR63" 2005 31
"BOU27" 2012 245
"BOU33" 2013 337
"BOU43" 2005 32
"BOU63" 2005 33
"BOU73" 2010 208
"BOU73" 2016 440
"BOU88" 2010 209
"BOU88" 2016 458
"BOU89" 2010 210
"BOU89" 2017 488
"BRA47" 2015 402
"BSA58" 2009 124
"BSA58" 2017 490
"BSF31" 2011 270
"BSF31" 2018 528
"BSJ32" 2011 272
"BSJ32" 2017 496
"BUL85" 2007 24
"CAL2B" 2010 211
"CAL2B" 2014 414
"CAN32" 2011 273
"CAN32" 2017 493
"CAN77a" 2008 99
"CAN77a" 2013 342
"CAN77b" 2008 97
"CAN77b" 2013 343
"CAN77c" 2008 98
"CAN77c" 2013 344
"CAR35" 2010 212
"CAR66" 2009 274
"CAR83" 2008 73
"CAS04" 2010 213
"CAS04" 2015 419
"CAS63" 2005 34
"CAS63" 2012 379
"CAU19" 2012 275
"CAU19" 2016 461
"CAZ40" 2005 63
"CAZ40" 2015 403
"CEB79" 2009 126
"CEB79" 2014 436
"CER21" 2009 127
"CER95" 2010 214
"CHA21" 2008 86
"CHA21" 2014 363
"CHA23" 2006 18
"CHA25" 2010 215
"CHA25" 2019 537
"CHA38" 2010 216
"CHA38" 2018 513
"CHA39" 2007 2
"CHA39" 2011 276
"CHA39" 2017 489
"CHA48" 2010 217
"CHA48" 2016 486
"CHA52" 2010 218
"CHA52" 2016 434
"CHA58" 2009 128
"CHA63" 2005 36
"CHA63" 2012 277
"CHA63" 2018 534
"CHA86" 2006 19
"CHO04" 2012 278
"COD2B" 2008 74
"COD2B" 2018 515
"COI39" 2010 219
"COM23" 2012 376
"CRE89" 2011 279
"CRE89" 2017 491
"DEV07" 2018 511
"DRE29" 2012 529
"DUC56" 2008 108
"ECH33" 2007 52
"ECH33" 2014 397
