species_code;a;b;source
BRO;0.01;3.03;TRF
ANG;0.01;3.03;TRF
LOT;0.01;3.03;TRF
BBG;0.01;3.03;TRF
PER;0.01;3.03;TRF
SAN;0.01;3.03;TRF
TRF;0.01;3.03;fishbase
TAC;0.01;3.03;TRF
OBL;0.01;3.03;TRF
SIL;0.01;3.03;TRF
SDF;0.01;3.03;TRF
IDE;0.01;3.03;TRF
CHE;0.01;3.03;TRF
ASP;0.01;3.03;TRF
PCH;0.01;3.03;TRF
BLE;0.01;3.03;TRF
LOR;0.01;3.03;TRF
CHP;0.01;3.03;TRF
LOE;0.01;3.03;TRF
LOF;0.01;3.03;TRF
CHA;0.01;3.03;TRF
BRE;0.01;3.03;TRF
SPI;0.01;3.03;TRF
ABL;0.01;3.03;TRF
BAF;0.01;3.03;TRF
BAM;0.01;3.03;TRF
BRB;0.01;3.03;TRF
CAS;0.01;3.03;TRF
HOT;0.01;3.03;TRF
TOX;0.01;3.03;TRF
CCO;0.01;3.03;TRF
GOU;0.01;3.03;TRF
ABH;0.01;3.03;TRF
VAR;0.01;3.03;TRF
VAN;0.01;3.03;TRF
PAP;0.01;3.03;TRF
VAI;0.01;3.03;TRF
PSR;0.01;3.03;TRF
BOU;0.01;3.03;TRF
GAR;0.01;3.03;TRF
ROT;0.01;3.03;TRF
BLN;0.01;3.03;TRF
TAN;0.01;3.03;TRF
EPI;0.01;3.03;TRF
EPT;0.01;3.03;TRF
GRE;0.01;3.03;TRF
PES;0.01;3.03;TRF
APR;0.01;3.03;TRF
GAM;0.01;3.03;TRF
OBR;0.01;3.03;TRF
