"species_code","species","size_min","size_max","stage","light","det","biof","phytob","macroph","phytopl","zoopl","zoob","fish","ref_diet","ref_ods","hypoth_ods","remark"
"det","detritus",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"biof","biofilms",0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"phytob","phytobenthos",0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"macroph","macrophyte",0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA
"phytopl","phytoplankton",0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"zoopl","zooplankton",0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA
"zoob","zoobenthos",0,0,0,0,1,1,1,1,1,1,1,0,NA,NA,NA,NA
