"Lake_ID","year","value","raw_value"
"ABB39",1959,11.7213299867643,11.7213299867643
"ABB39",1960,11.3066927264143,11.3066927264143
"ABB39",1961,10.9980328211087,10.9980328211087
"ABB39",1962,10.0548848379937,10.0548848379937
"ABB39",1963,11.0718764606214,11.0718764606214
"ABB39",1964,10.546265587033,10.546265587033
"ABB39",1965,10.9924177365841,10.9924177365841
"ABB39",1966,10.9542833528038,10.9542833528038
"ABB39",1967,10.9882912898229,10.9882912898229
"ABB39",1968,10.7786024289573,10.7786024289573
"ABB39",1969,10.3753550165519,10.3753550165519
"ABB39",1970,10.9827483608998,10.9827483608998
"ABB39",1971,11.0107178259446,11.0107178259446
"ABB39",1972,10.3197349100517,10.3197349100517
"ABB39",1973,11.0667774424282,11.0667774424282
"ABB39",1974,10.6507165187524,10.6507165187524
"ABB39",1975,10.9914070931332,10.9914070931332
"ABB39",1976,10.9070156584778,10.9070156584778
"ABB39",1977,10.3500292890488,10.3500292890488
"ABB39",1978,10.3378949202679,10.3378949202679
"ABB39",1979,10.5274984170503,10.5274984170503
"ABB39",1980,10.202899611935,10.202899611935
"ABB39",1981,11.5957552192201,11.5957552192201
"ABB39",1982,12.2066395615773,12.2066395615773
"ABB39",1983,11.3644592309368,11.3644592309368
"ABB39",1984,11.1414643475975,11.1414643475975
"ABB39",1985,10.9721483542703,10.9721483542703
"ABB39",1986,10.8446899020604,10.8446899020604
"ABB39",1987,11.3380377478416,11.3380377478416
"ABB39",1988,11.1346590237299,11.1346590237299
"ABB39",1989,11.417542384311,11.417542384311
"ABB39",1990,10.5287786382179,10.5287786382179
"ABB39",1991,10.5877802581355,10.5877802581355
"ABB39",1992,11.0909574153642,11.0909574153642
"ABB39",1993,10.8246746175555,10.8246746175555
"ABB39",1994,11.1508227541846,11.1508227541846
"ABB39",1995,10.2925198464803,10.2925198464803
"ABB39",1996,10.1429372484286,10.1429372484286
"ABB39",1997,10.3112545039959,10.3112545039959
"ABB39",1998,9.73509942617905,9.73509942617905
"ABB39",1999,10.3140347306395,10.3140347306395
"ABB39",2000,10.9233571758773,10.9233571758773
"ABB39",2001,10.214353715166,10.214353715166
"ABB39",2002,10.7494596117918,10.7494596117918
"ABB39",2003,10.3058460288451,10.3058460288451
"ABB39",2004,10.1396907850121,10.1396907850121
"ABB39",2005,10.2380756822397,10.2380756822397
"ABB39",2006,11.7742481983643,11.7742481983643
"ABB39",2007,10.4234119409282,10.4234119409282
"ABB39",2008,10.6300822046599,10.6300822046599
"ABB39",2009,10.9351407463226,10.9351407463226
"ABB39",2010,11.0299382817182,11.0299382817182
"ABB39",2011,11.5721526298767,11.5721526298767
"ABB39",2012,10.7654468769154,10.7654468769154
"ABB39",2013,11.4376223729618,11.4376223729618
"ABB39",2014,11.8139680384816,11.8139680384816
"ABB39",2015,11.6782349065329,11.6782349065329
"ABB39",2016,11.234605576602,11.234605576602
"ABB39",2017,10.8678258420476,10.8678258420476
"ABB39",2018,11.2436478781561,11.2436478781561
"AIG15",1959,15.1776216396649,15.1776216396649
"AIG15",1960,15.0692362032498,15.0692362032498
"AIG15",1961,14.9938050471908,14.9938050471908
"AIG15",1962,13.444037900986,13.444037900986
"AIG15",1963,14.5466858774824,14.5466858774824
"AIG15",1964,14.3413480667392,14.3413480667392
"AIG15",1965,15.016802359715,15.016802359715
"AIG15",1966,14.8119444690266,14.8119444690266
"AIG15",1967,14.7686687370039,14.7686687370039
"AIG15",1968,14.7498159763444,14.7498159763444
"AIG15",1969,14.4289476147447,14.4289476147447
"AIG15",1970,14.6424983379175,14.6424983379175
"AIG15",1971,14.5856022365062,14.5856022365062
"AIG15",1972,14.2957004275307,14.2957004275307
"AIG15",1973,14.9611042177561,14.9611042177561
"AIG15",1974,14.4737151379552,14.4737151379552
"AIG15",1975,14.689530743632,14.689530743632
"AIG15",1976,14.6423638919058,14.6423638919058
"AIG15",1977,14.1707074602595,14.1707074602595
"AIG15",1978,14.2800971589482,14.2800971589482
"AIG15",1979,14.1998458529072,14.1998458529072
"AIG15",1980,13.9304255967564,13.9304255967564
"AIG15",1981,15.2053714071684,15.2053714071684
"AIG15",1982,15.5605037475945,15.5605037475945
"AIG15",1983,15.0447911128981,15.0447911128981
"AIG15",1984,14.4668773383392,14.4668773383392
"AIG15",1985,14.4699540529491,14.4699540529491
"AIG15",1986,14.692201111635,14.692201111635
"AIG15",1987,15.3900025880086,15.3900025880086
"AIG15",1988,15.3478749133554,15.3478749133554
"AIG15",1989,16.1143083482962,16.1143083482962
"AIG15",1990,14.7917358393354,14.7917358393354
"AIG15",1991,14.5970047793383,14.5970047793383
"AIG15",1992,14.9590201492136,14.9590201492136
"AIG15",1993,14.855926668782,14.855926668782
"AIG15",1994,15.5795789722401,15.5795789722401
"AIG15",1995,14.4760922781467,14.4760922781467
"AIG15",1996,14.2014848282189,14.2014848282189
"AIG15",1997,14.9387384863657,14.9387384863657
"AIG15",1998,14.283585723106,14.283585723106
"AIG15",1999,14.6732975891044,14.6732975891044
"AIG15",2000,15.2496129152398,15.2496129152398
"AIG15",2001,14.4217195648869,14.4217195648869
"AIG15",2002,15.210590046238,15.210590046238
"AIG15",2003,15.0120846099965,15.0120846099965
"AIG15",2004,14.3629261754053,14.3629261754053
"AIG15",2005,14.4889503432475,14.4889503432475
"AIG15",2006,15.7821826774042,15.7821826774042
"AIG15",2007,14.441693463618,14.441693463618
"AIG15",2008,14.161183614154,14.161183614154
"AIG15",2009,14.3469395799532,14.3469395799532
"AIG15",2010,14.4155657259859,14.4155657259859
"AIG15",2011,15.0603063580844,15.0603063580844
"AIG15",2012,14.4094478095379,14.4094478095379
"AIG15",2013,14.9880574882846,14.9880574882846
"AIG15",2014,15.3318506140037,15.3318506140037
"AIG15",2015,15.5185265777504,15.5185265777504
"AIG15",2016,15.6389656196204,15.6389656196204
"AIG15",2017,15.6337149248138,15.6337149248138
"AIG15",2018,16.1345981787814,16.1345981787814
"AIG73",1959,13.515349669413,13.515349669413
"AIG73",1960,13.3733725062711,13.3733725062711
"AIG73",1961,13.1918010998718,13.1918010998718
"AIG73",1962,12.0693173700311,12.0693173700311
"AIG73",1963,12.9168959471,12.9168959471
"AIG73",1964,12.6600798124665,12.6600798124665
"AIG73",1965,13.0677059514345,13.0677059514345
